Name,Counrties,Headphone,earphone,Paper speakers,Bluetooth speaker,Cables,Nap Zappers,All
USA,USA,130330,118031,107759,111079,102767,230076,800042
Australia,Australia,84540,10020,35310,67890,6600,150999,355359
England,UK,20580,34080,15950,10800,2190,125500,209100
Germany,Germany,4540,9020,5380,0,7680,25000,51620
France,France,0,0,56510,2300,69800,45890,174500
Italy,Italy,2100,0,89000,1100,0,99000,191200
Chile,Chile,33580,68080,0,12890,0,115500,230050
Brazil,Brazil,1570,0,0,0,0,315440,317010
Peru,Peru,0,0,45000,0,0,23890,23890
Mexico,Mexico,0,0,6780,0,0,5600,12380
Canada,Canada,0,0,99950,0,0,88900,188850
Afghanistan,Afghanistan,0,0,0,0,0,0,0
Angola,Angola,0,0,0,0,0,0,0
Albania,Albania,0,0,0,0,0,0,0
United Arab Emirates,United Arab Emirates,0,0,0,0,0,0,0
Argentina,Argentina,0,0,0,0,0,0,0
Armenia,Armenia,0,0,0,0,0,0,0
Antarctica,Antarctica,0,0,0,0,0,0,0
French Southern and Antarctic Lands,French Southern and Antarctic Lands,0,0,0,0,0,0,0
Austria,Austria,0,0,0,0,0,0,0
Azerbaijan,Azerbaijan,0,0,0,0,0,0,0
Burundi,Burundi,0,0,0,0,0,0,0
Belgium,Belgium,0,0,0,0,0,0,0
Benin,Benin,0,0,0,0,0,0,0
Burkina Faso,Burkina Faso,0,0,0,0,0,0,0
Bangladesh,Bangladesh,0,0,0,0,0,0,0
Bulgaria,Bulgaria,0,0,0,0,0,0,0
The Bahamas,The Bahamas,0,0,0,0,0,0,0
Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,0,0,0,0,0
Belarus,Belarus,0,0,0,0,0,0,0
Belize,Belize,0,0,0,0,0,0,0
Bolivia,Bolivia,0,0,0,0,0,0,0
Brunei,Brunei,0,0,0,0,0,0,0
Bhutan,Bhutan,0,0,0,0,0,0,0
Botswana,Botswana,0,0,0,0,0,0,0
Central African Republic,Central African Republic,0,0,0,0,0,0,0
Switzerland,Switzerland,0,0,0,0,0,0,0
China,China,0,0,0,0,0,0,0
Ivory Coast,Ivory Coast,0,0,0,0,0,0,0
Cameroon,Cameroon,0,0,0,0,0,0,0
Democratic Republic of the Congo,Democratic Republic of the Congo,0,0,0,0,0,0,0
Republic of the Congo,Republic of the Congo,0,0,0,0,0,0,0
Colombia,Colombia,0,0,0,0,0,0,0
Costa Rica,Costa Rica,0,0,0,0,0,0,0
Cuba,Cuba,0,0,0,0,0,0,0
Northern Cyprus,Northern Cyprus,0,0,0,0,0,0,0
Cyprus,Cyprus,0,0,0,0,0,0,0
Czech Republic,Czech Republic,0,0,0,0,0,0,0
Djibouti,Djibouti,0,0,0,0,0,0,0
Denmark,Denmark,0,0,0,0,0,0,0
Dominican Republic,Dominican Republic,0,0,0,0,0,0,0
Algeria,Algeria,0,0,0,0,0,0,0
Ecuador,Ecuador,0,0,0,0,0,0,0
Egypt,Egypt,0,0,0,0,0,0,0
Eritrea,Eritrea,0,0,0,0,0,0,0
Spain,Spain,0,0,0,0,0,0,0
Estonia,Estonia,0,0,0,0,0,0,0
Ethiopia,Ethiopia,0,0,0,0,0,0,0
Finland,Finland,0,0,0,0,0,0,0
Fiji,Fiji,0,0,0,0,0,0,0
Falkland Islands,Falkland Islands,0,0,0,0,0,0,0
Gabon,Gabon,0,0,0,0,0,0,0
Georgia,Georgia,0,0,0,0,0,0,0
Ghana,Ghana,0,0,0,0,0,0,0
Guinea,Guinea,0,0,0,0,0,0,0
Gambia,Gambia,0,0,0,0,0,0,0
Guinea Bissau,Guinea Bissau,0,0,0,0,0,0,0
Equatorial Guinea,Equatorial Guinea,0,0,0,0,0,0,0
Greece,Greece,0,0,0,0,0,0,0
Greenland,Greenland,0,0,0,0,0,0,0
Guatemala,Guatemala,0,0,0,0,0,0,0
Guyana,Guyana,0,0,0,0,0,0,0
Honduras,Honduras,0,0,0,0,0,0,0
Croatia,Croatia,0,0,0,0,0,0,0
Haiti,Haiti,0,0,0,0,0,0,0
Hungary,Hungary,0,0,0,0,0,0,0
Indonesia,Indonesia,0,0,0,0,0,0,0
India,India,0,0,0,0,0,0,0
Ireland,Ireland,0,0,0,0,0,0,0
Iran,Iran,0,0,0,0,0,0,0
Iraq,Iraq,0,0,0,0,0,0,0
Iceland,Iceland,0,0,0,0,0,0,0
Israel,Israel,0,0,0,0,0,0,0
Jamaica,Jamaica,0,0,0,0,0,0,0
Jordan,Jordan,0,0,0,0,0,0,0
Japan,Japan,0,0,0,0,0,0,0
Kazakhstan,Kazakhstan,0,0,0,0,0,0,0
Kenya,Kenya,0,0,0,0,0,0,0
Kyrgyzstan,Kyrgyzstan,0,0,0,0,0,0,0
Cambodia,Cambodia,0,0,0,0,0,0,0
South Korea,South Korea,0,0,0,0,0,0,0
Kosovo,Kosovo,0,0,0,0,0,0,0
Kuwait,Kuwait,0,0,0,0,0,0,0
Laos,Laos,0,0,0,0,0,0,0
Lebanon,Lebanon,0,0,0,0,0,0,0
Liberia,Liberia,0,0,0,0,0,0,0
Libya,Libya,0,0,0,0,0,0,0
Sri Lanka,Sri Lanka,0,0,0,0,0,0,0
Lesotho,Lesotho,0,0,0,0,0,0,0
Lithuania,Lithuania,0,0,0,0,0,0,0
Luxembourg,Luxembourg,0,0,0,0,0,0,0
Latvia,Latvia,0,0,0,0,0,0,0
Morocco,Morocco,0,0,0,0,0,0,0
Moldova,Moldova,0,0,0,0,0,0,0
Madagascar,Madagascar,0,0,0,0,0,0,0
Macedonia,Macedonia,0,0,0,0,0,0,0
Mali,Mali,0,0,0,0,0,0,0
Myanmar,Myanmar,0,0,0,0,0,0,0
Montenegro,Montenegro,0,0,0,0,0,0,0
Mongolia,Mongolia,0,0,0,0,0,0,0
Mozambique,Mozambique,0,0,0,0,0,0,0
Mauritania,Mauritania,0,0,0,0,0,0,0
Malawi,Malawi,0,0,0,0,0,0,0
Malaysia,Malaysia,0,0,0,0,0,0,0
Namibia,Namibia,0,0,0,0,0,0,0
New Caledonia,New Caledonia,0,0,0,0,0,0,0
Niger,Niger,0,0,0,0,0,0,0
Nigeria,Nigeria,0,0,0,0,0,0,0
Nicaragua,Nicaragua,0,0,0,0,0,0,0
Netherlands,Netherlands,0,0,0,0,0,0,0
Norway,Norway,0,0,0,0,0,0,0
Nepal,Nepal,0,0,0,0,0,0,0
New Zealand,New Zealand,0,0,0,0,0,0,0
Oman,Oman,0,0,0,0,0,0,0
Pakistan,Pakistan,0,0,0,0,0,0,0
Panama,Panama,0,0,0,0,0,0,0
Philippines,Philippines,0,0,0,0,0,0,0
Papua New Guinea,Papua New Guinea,0,0,0,0,0,0,0
Poland,Poland,0,0,0,0,0,0,0
Puerto Rico,Puerto Rico,0,0,0,0,0,0,0
North Korea,North Korea,0,0,0,0,0,0,0
Portugal,Portugal,0,0,0,0,0,0,0
Paraguay,Paraguay,0,0,0,0,0,0,0
Qatar,Qatar,0,0,0,0,0,0,0
Romania,Romania,0,0,0,0,0,0,0
Russia,Russia,0,0,0,0,0,0,0
Rwanda,Rwanda,0,0,0,0,0,0,0
Western Sahara,Western Sahara,0,0,0,0,0,0,0
Saudi Arabia,Saudi Arabia,0,0,0,0,0,0,0
Sudan,Sudan,0,0,0,0,0,0,0
South Sudan,South Sudan,0,0,0,0,0,0,0
Senegal,Senegal,0,0,0,0,0,0,0
Solomon Islands,Solomon Islands,0,0,0,0,0,0,0
Sierra Leone,Sierra Leone,0,0,0,0,0,0,0
El Salvador,El Salvador,0,0,0,0,0,0,0
Somaliland,Somaliland,0,0,0,0,0,0,0
Somalia,Somalia,0,0,0,0,0,0,0
Republic of Serbia,Republic of Serbia,0,0,0,0,0,0,0
Suriname,Suriname,0,0,0,0,0,0,0
Slovakia,Slovakia,0,0,0,0,0,0,0
Slovenia,Slovenia,0,0,0,0,0,0,0
Sweden,Sweden,0,0,0,0,0,0,0
Swaziland,Swaziland,0,0,0,0,0,0,0
Syria,Syria,0,0,0,0,0,0,0
Chad,Chad,0,0,0,0,0,0,0
Togo,Togo,0,0,0,0,0,0,0
Thailand,Thailand,0,0,0,0,0,0,0
Tajikistan,Tajikistan,0,0,0,0,0,0,0
Turkmenistan,Turkmenistan,0,0,0,0,0,0,0
East Timor,East Timor,0,0,0,0,0,0,0
Trinidad and Tobago,Trinidad and Tobago,0,0,0,0,0,0,0
Tunisia,Tunisia,0,0,0,0,0,0,0
Turkey,Turkey,0,0,0,0,0,0,0
Taiwan,Taiwan,0,0,0,0,0,0,0
United Republic of Tanzania,United Republic of Tanzania,0,0,0,0,0,0,0
Uganda,Uganda,0,0,0,0,0,0,0
Ukraine,Ukraine,0,0,0,0,0,0,0
Uruguay,Uruguay,0,0,0,0,0,0,0
Uzbekistan,Uzbekistan,0,0,0,0,0,0,0
Venezuela,Venezuela,0,0,0,0,0,0,0
Vietnam,Vietnam,0,0,0,0,0,0,0
Vanuatu,Vanuatu,0,0,0,0,0,0,0
West Bank,West Bank,0,0,0,0,0,0,0
Yemen,Yemen,0,0,0,0,0,0,0
South Africa,South Africa,0,0,0,0,0,0,0
Zambia,Zambia,0,0,0,0,0,0,0
Zimbabwe,Zimbabwe,0,0,0,0,0,0,0